address,LHIN,licensee,management,home type,short stay,residents council,family council,accreditation,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,Pruid,latitude,longitude
123 Weldon Road,Central,The Mennonite Home Association As York County,,Non-Profit,No,Yes,Yes,Yes,Stouffville, L4A0G8,128.0,17.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,parkview home long-term care,,,,,Whitchurch-Stouffville,3519044.0,35.0,43.96541475,-79.25898437
98-3rd Street South East P.O. Box 298,South West,Grosvenor Health Care Partnership (No. 3),Extendicare (Canada) Inc.,For-Profit,No,Yes,Yes,Yes,Chesley, N0G1L0,34.0,17.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,parkview manor health care centre,<5,0,0,Active,Arran-Elderslie,3541043.0,35.0,44.298319899999996,-81.091335
545 King Street West,Hamilton Niagara Haldimand Brant (Hnhb),The Parkview Health Care Partnership On Behalf Of 593405 Ontario Limited As General Partner,Metcap Living Management Inc./Gestion Residentielle Metcap Inc.,For-Profit,No,Yes,Yes,Yes,Hamilton, L8P1C1,126.0,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,parkview nursing centre,,,,,Hamilton,3525005.0,35.0,43.26103249,-79.88486411
726 New Hampshire Street,Waterloo Wellington,Parkwood Mennonite Home Inc.,,Non-Profit,No,Yes,Yes,Yes,Waterloo, N2K4M1,96.0,22.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,parkwood mennonite home,,,,,Waterloo,3530016.0,35.0,43.51640151,-80.50225763
525 Main Street North,Central West,The Regional Municipality Of Peel (See Owner No. 416),,Municipal,No,Yes,Yes,Yes,Brampton, L6X1N9,177.0,55.0,"(46.0, 172.0]",3.0,15.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,peel manor,<5,<5,6,Active,Brampton,3521010.0,35.0,43.69999507,-79.78142981
198 Mornington Street,South West,Peoplecare Stratford Inc.,,For-Profit,Yes,Yes,No,Yes,Stratford, N5A5G3,60.0,7.0,"(0.0, 21.0]",0.0,,,,,,,people care centre,,,,,,,,,
369 Frederick Street,Waterloo Wellington,Peoplecare Not-for-profit Homes Inc.,Peoplecare Inc.,Non-Profit,No,Yes,Yes,Yes,Kitchener, N2H2P1,80.0,31.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,peoplecare a.r. goudie kitchener,<5,9,13,Active,Kitchener,3530013.0,35.0,43.4564955,-80.47446971
42 Elliott Street,Waterloo Wellington,Peoplecare Communities Inc.,,For-Profit,No,Yes,Yes,Yes,Cambridge, N1R2J2,185.0,42.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,peoplecare hilltop manor cambridge,0,0,<5,Active,Cambridge,3530010.0,35.0,43.35352749,-80.30996865
1242 Oakcrossing Road,South West,Peoplecare Communities Inc.,,For-Profit,No,Yes,Yes,Yes,London, N6H0G2,160.0,83.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,peoplecare oakcrossing london,0,0,<5,Active,London,3539036.0,35.0,42.99044098,-81.31277543
28 William Street North P.O. Box 460,South West,Peoplecare Communities Inc.,,For-Profit,Yes,Yes,No,Yes,Tavistock, N0B2R0,100.0,22.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,peoplecare tavistock,,,,,East Zorra-Tavistock,3532038.0,35.0,43.31908376,-80.83917752
101 Christie Lake Road R. R. #4,South East,"Arch Long Term Care Lp By Its General Partner, Arch Long Term Care Mgp, By Its Partners, Arch Long Term Care Gp Inc. And Arch Capital Management Corporation",Universalcare Canada Inc.,For-Profit,No,Yes,Yes,Yes,Perth, K7H3C6,121.0,40.0,"(31.0, 46.0]",2.0,24.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,perth community care centre,,,,,Tay Valley,3509015.0,35.0,44.90433714,-76.27097938
9 Meridian Place,Champlain,City Of Ottawa,,Municipal,No,Yes,Yes,Yes,Ottawa, K2G6P8,216.0,91.0,"(46.0, 172.0]",3.0,69.0,"(23.0, 86.0]",3.0,35.0,"(11.0, 44.0]",3.0,peter d. clark centre,5,<5,5,Active,Ottawa,3506008.0,35.0,45.34293864,-75.76125205
124 Lloyd Street P.O. Box 100,South East,Land O'lakes Community Services,Extendicare (Canada) Inc.,Non-Profit,Yes,Yes,Yes,Yes,Northbrook, K0H2G0,60.0,20.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,pine meadow nursing home,,,,,Addington Highlands,3511035.0,35.0,44.7375315,-77.1556304
490 Highway #8,Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres I I Gp Inc,,For-Profit,No,Yes,No,No,Stoney Creek, L8G1G6,41.0,20.0,"(0.0, 21.0]",0.0,15.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,pine villa nursing home,,,,,Hamilton,3525005.0,35.0,43.21627369,-79.71616285
1220 Valley Drive,North West,Board Of Management Of The District Of Kenora,,Municipal,Yes,Yes,Yes,No,Kenora, P9N2W7,116.0,25.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,pinecrest (kenora),,,,,Kenora,3560010.0,35.0,49.7799152,-94.4631099
101 Parent Street P.O. Box 250,Champlain,"Cvh (No. 4) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,No,Yes,Yes,No,Plantagenet, K0B1L0,60.0,50.0,"(46.0, 172.0]",3.0,32.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,pinecrest (plantagenet),24,9,5,Active,Alfred and Plantagenet,3502023.0,35.0,45.5420141,-74.99812112
399 Bob Street P.O. BOX 220,South West,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Lucknow, N0G2H0,61.0,19.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,pinecrest manor,,,,,Huron-Kinloss,3541015.0,35.0,43.95579153,-81.51071469
3418 County Road 36 R.R. #2,Central East,Medlaw Corporation Limited,,For-Profit,No,Yes,Yes,No,Bobcaygeon, K0M1A0,65.0,20.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,pinecrest nursing home (bobcaygeon),33,29,32,Active,Kawartha Lakes,3516010.0,35.0,44.52836508,-78.53389679
229 Lexington Road,Waterloo Wellington,Schlegel Villages Inc.,,For-Profit,No,Yes,Yes,Yes,Waterloo, N2K2E1,84.0,39.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,pinehaven nursing home,,0,,Inactive,Waterloo,3530016.0,35.0,43.492695399999995,-80.51167673
960 Notre Dame Avenue,North East,The City Of Greater Sudbury,,Municipal,No,Yes,Yes,Yes,Sudbury, P3A2T4,433.0,73.0,"(46.0, 172.0]",3.0,41.0,"(23.0, 86.0]",3.0,19.0,"(11.0, 44.0]",3.0,pioneer manor,,,,,Greater Sudbury / Grand Sudbury,3553005.0,35.0,46.51756439,-80.98200638
750 Tungsten Street,North West,The Corporation Of The City Of Thunder Bay,,Municipal,No,Yes,Yes,Yes,Thunder Bay, P7B6R1,150.0,27.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,pioneer ridge,,,,,Thunder Bay,3558004.0,35.0,48.41777116,-89.25595747
15 Elden Street Box 500,Hamilton Niagara Haldimand Brant (Hnhb),Pleasant Manor Retirement Village,,Non-Profit,No,Yes,No,No,Virgil, L0S1T0,41.0,14.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,pleasant manor retirement village,,,,,Niagara-on-the-Lake,3526047.0,35.0,43.22673892,-79.12186246
99 Alma Street P. O. Box 426,Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,Yes,Yes,Norwood, K0L2V0,61.0,22.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,pleasant meadow manor,,,,,Asphodel-Norwood,3515003.0,35.0,44.37927558,-77.96791169
15941 Simcoe Street,Central East,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,No,Yes,Yes,Yes,Port Perry, L9L1N5,107.0,50.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,6.0,"(5.0, 7.0]",1.0,port perry place,,,,,Scugog,3518020.0,35.0,44.11144499,-78.95044579
203 Georgian Drive,Mississauga Halton,The Regional Municipality Of Halton,,Municipal,Yes,Yes,Yes,Yes,Oakville, L6H7H9,228.0,35.0,"(31.0, 46.0]",2.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,post inn village,<5,0,<5,Active,Oakville,3524001.0,35.0,43.48026034,-79.71675247
Princess Street Box 725,North West,Kenora District Home For The Aged Board Of Management,,Municipal,Yes,Yes,Yes,No,Dryden, P8N2Z4,97.0,28.0,"(21.0, 31.0]",1.0,8.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,princess court,,,,,Dryden,3560027.0,35.0,49.783303000000004,-92.8352797
3276 St. Clair Avenue East,Toronto Central,Providence St. Joseph's And St. Michael's Healthcare,,Non-Profit,No,Yes,Yes,Yes,Scarborough, M1L1W1,288.0,55.0,"(46.0, 172.0]",3.0,29.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,providence healthcare,,<5,,Inactive,Toronto,3520005.0,35.0,43.712205100000006,-79.28502950000001
275 Sydenham Street,South East,Providence Care Centre,,Non-Profit,Yes,Yes,Yes,Yes,Kingston, K7K1G7,243.0,69.0,"(46.0, 172.0]",3.0,48.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,providence manor,,0,,Inactive,Kingston,3510010.0,35.0,44.23553812,-76.48546340000001
80 Queen Street North,Hamilton Niagara Haldimand Brant (Hnhb),Liuna Local 837 Nursing Home (Hamilton) Corporation,Chartwell Seniors Housing Reit,Non-Profit,No,Yes,Yes,Yes,Hamilton, L8R3P6,128.0,44.0,"(31.0, 46.0]",2.0,15.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,queen's garden,,,,,Hamilton,3525005.0,35.0,43.26115109,-79.87697411
100 Queen Street East P.O. Box 369,South West,"Cvh (No. 8) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Yes,Yes,Yes,Yes,Hensall, N0M1X0,60.0,26.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,queensway long term care home,,,,,Bluewater,3540010.0,35.0,43.43497405,-81.50347404
5050 Jepson Street,Hamilton Niagara Haldimand Brant (Hnhb),The Governing Council Of The Salvation Army In Canada,,Non-Profit,Yes,Yes,Yes,No,Niagara Falls, L2E1K5,101.0,18.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,r. h. lawson eventide home,,,,,Niagara Falls,3526043.0,35.0,43.0997467,-79.07748394
114 Fourth Street P.O. Box 236,North West,Riverside Health Care Facilities Inc.,,Non-Profit,No,Yes,No,No,Rainy River, P0W1L0,21.0,12.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,rainy river health centre,,,,,Rainy River,3559042.0,35.0,48.71856,-94.5692765
550 Osborne Street,North West,Riverside Health Care Facilities Inc.,,Non-Profit,Yes,Yes,Yes,Yes,Fort Frances, P9A3T2,164.0,68.0,"(46.0, 172.0]",3.0,48.0,"(23.0, 86.0]",3.0,28.0,"(11.0, 44.0]",3.0,rainycrest,,,,,Fort Frances,3559012.0,35.0,48.61757858,-93.38953726
130 Reach Street,Central East,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Uxbridge, L9P1L3,100.0,41.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,reachview village,6,<5,8,Active,Uxbridge,3518029.0,35.0,44.10408728,-79.11189924
66 Dorset Street East,Central East,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Yes,Yes,Yes,Yes,Port Hope, L1A1E3,60.0,26.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,regency long term care home,,,,,Port Hope,3514020.0,35.0,43.95079819,-78.28804066
567 Victoria Avenue,Erie St. Clair,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Universalcare Canada Inc.,For-Profit,No,Yes,Yes,Yes,Windsor, N9A4N1,72.0,28.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,regency park long term care home,,,,,Windsor,3537039.0,35.0,42.31362957,-83.03932361
536 Upper Paradise Road,Hamilton Niagara Haldimand Brant (Hnhb),Liuna Local 837 Nursing Home (Ancaster) Corporation,Chartwell Seniors Housing Reit,Non-Profit,No,Yes,Yes,Yes,Hamilton, L9C5E3,128.0,32.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,regina gardens,0,0,<5,Active,Hamilton,3525005.0,35.0,43.23102399,-79.91358922
"1020, Cartier Boulevard",Champlain,United Counties Of Prescott And Russell,,Municipal,Yes,Yes,Yes,Yes,Hawkesbury, K6A1W7,146.0,54.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,residence prescott et russell,,,,,Hawkesbury,3502008.0,35.0,45.60023563,-74.61370539
879 Chemin Parc Hiawatha,Champlain,Bruyere Continuing Care Inc.,,Non-Profit,Yes,Yes,Yes,Yes,Ottawa, K1C2Z6,198.0,114.0,"(46.0, 172.0]",3.0,72.0,"(23.0, 86.0]",3.0,28.0,"(11.0, 44.0]",3.0,residence saint-louis,21,<5,17,Active,,,,,
89 Rankin Avenue,Erie St. Clair,Richmond Terrace Limited,Apans Health Services,For-Profit,Yes,Yes,Yes,Yes,Amherstburg, N9V1E7,120.0,62.0,"(46.0, 172.0]",3.0,35.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,richmond terrace,,,,,Amherstburg,3537028.0,35.0,42.10422443,-83.11025501
175 Rideau Street,South East,The Corporation Of The City Of Kingston,,Municipal,No,Yes,Yes,Yes,Kingston, K7K3H6,170.0,69.0,"(46.0, 172.0]",3.0,42.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,rideaucrest home,,,,,Kingston,3510010.0,35.0,44.23807732,-76.48232850000001
385 Highland Road West,Hamilton Niagara Haldimand Brant (Hnhb),Axr Operating (National) Lp,,For-Profit,No,Yes,Yes,Yes,Stoney Creek, L8J3X9,120.0,24.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,ridgeview,,,,,Hamilton,3525005.0,35.0,43.18766128,-79.80319278
"Part Lot 16, Con 2, Logan Twn R.R. #5",South West,Ritz Lutheran Villa,,Non-Profit,No,Yes,Yes,No,Mitchell, N0K1N0,85.0,66.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,ritz lutheran villa,,,,,West Perth,3531025.0,35.0,43.478586,-81.191192
160 High Street P.O. Box 368,Central,Atk Care Inc.,,For-Profit,No,Yes,Yes,Yes,Sutton West, L0E1R0,120.0,27.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,river glen haven nursing home,35,5,18,Active,Georgina,3519070.0,35.0,44.30394879999999,-79.36171604
650 Coronation Blvd.,Waterloo Wellington,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Cambridge, N1R7S6,54.0,17.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,riverbend place,,,,,Cambridge,3530010.0,35.0,43.37692539,-80.32575336
3181 Meadowbrook Lane,Erie St. Clair,Axr Operating (National) Lp,,For-Profit,No,Yes,Yes,Yes,Windsor, N8T0A4,96.0,50.0,"(46.0, 172.0]",3.0,23.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,riverside place,0,0,<5,Active,Windsor,3537039.0,35.0,42.29910898,-82.92755457
519 King Street West,Erie St. Clair,The Corporation Of The Municipality Of Chatham-kent,,Municipal,Yes,Yes,Yes,No,Chatham, N7M1G8,320.0,104.0,"(46.0, 172.0]",3.0,42.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,riverview gardens,,,,,Chatham-Kent,3536020.0,35.0,42.39921553,-82.19474266
1155 Water Street,Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,Yes,Yes,Peterborough, K9H3P8,124.0,35.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,riverview manor nursing home,,0,,Inactive,Peterborough,3515014.0,35.0,44.33636205,-78.3150222
503 Essa Road,North Simcoe Muskoka,Barrie Long Term Care Centre Inc.,,For-Profit,Yes,Yes,No,Yes,Barrie, L4N9E4,140.0,38.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,18.0,"(11.0, 44.0]",3.0,roberta place,,,,,Barrie,3543042.0,35.0,44.34268529,-79.70744685
3015 Lawrence Avenue East,Central East,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1P2V7,204.0,35.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,21.0,"(11.0, 44.0]",3.0,rockcliffe care community,0,0,<5,Active,Toronto,3520005.0,35.0,43.75467751,-79.24789355
575 Saddler Street East P. O. Box 660,South West,Corporation Of The County Of Grey,,Municipal,No,Yes,Yes,No,Durham, N0G1R0,100.0,28.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,rockwood terrace home for the aged,,,,,West Grey,3542004.0,35.0,44.17446891,-80.80961509
17 Maplewood Avenue,Toronto Central,Rose Of Sharon (Ontario) Retirement Community,Assured Care Consulting Inc.,Non-Profit,No,Yes,Yes,No,Toronto, M6C4B3,60.0,14.0,"(0.0, 21.0]",0.0,5.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,rose of sharon korean long term care,,,,,Toronto,3520005.0,35.0,43.68583989,-79.4218175
131 Roses Bridge Road R. R. #2,South East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,Yes,Yes,Jasper, K0G1G0,78.0,24.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,rosebridge manor,,0,,Inactive,Merrickville-Wolford,3507052.0,35.0,44.84219285,-75.89019625
507- 8th Avenue P.O. Box 70,North East,Bingham Memorial Hospital,,Non-Profit,No,Yes,Yes,No,Matheson, P0K1N0,20.0,13.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,rosedale centre,,,,,Black River-Matheson,3556014.0,35.0,48.53944263,-80.46973105
1145 Carling Avenue,Champlain,Royal Ottawa Health Care Group,,Non-Profit,Yes,Yes,Yes,Yes,Ottawa, K1Z7K4,70.0,23.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,royal ottawa place,,,,,Ottawa,3506008.0,35.0,45.38854715,-75.72980265
635 Prince Charles Drive North,Hamilton Niagara Haldimand Brant (Hnhb),859530 Ontario Inc. (Operating As Jarlette Health Services),,For-Profit,No,No,No,No,Welland, L3C0C7,96.0,13.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,royal rose place,<5,17,<5,Active,Welland,3526032.0,35.0,43.00162217,-79.26928669
600 White's Road,Waterloo Wellington,Shanti Enterprises Limited,,For-Profit,No,Yes,Yes,Yes,Palmerston, N0G2P0,67.0,23.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,royal terrace,,0,,Inactive,Minto,3523043.0,35.0,43.83992155,-80.84393637
1624 Franklin Boulevard,Waterloo Wellington,Saint Luke's Place,,Non-Profit,No,Yes,Yes,Yes,Cambridge, N3C3P4,114.0,29.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,saint luke's place,,0,,Inactive,Cambridge,3530010.0,35.0,43.4253246,-80.31029116
220 Emma Street,Champlain,458422 Ontario Limited,,For-Profit,No,Yes,Yes,Yes,Cornwall, K6J5V8,53.0,26.0,"(21.0, 31.0]",1.0,20.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,sandfield place,,,,,Cornwall,3501012.0,35.0,45.03749423,-74.75148549
1 Health Care Crescent,North West,Sante Manitouwadge Health,,Non-Profit,No,Yes,Yes,Yes,Manitouwadge, P0T2C0,9.0,12.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,santé manitouwadge health,,,,,,,,,
27 Simcoe Street,North Simcoe Muskoka,Revera Long Term Care Inc.,,For-Profit,Yes,Yes,Yes,Yes,Elmvale, L0L1P0,60.0,14.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,sara vista,,,,,Springwater,3543009.0,35.0,44.58237802,-79.86181752
2861 Colonial Road P.O. Box 130,Champlain,2629693 Ontario Inc.,Taminagi Inc. (As Manager),For-Profit,No,Yes,Yes,Yes,Sarsfield, K0A3E0,46.0,62.0,"(46.0, 172.0]",3.0,42.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,sarsfield colonial home,,,,,Ottawa,3506008.0,35.0,45.440588,-75.347066
100 James Street,South West,"Cvh (No. 8) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Yes,Yes,Yes,Yes,Seaforth, N0K1W0,63.0,16.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,seaforth long term care home,,,,,Huron East,3540040.0,35.0,43.55647627,-81.39760291
263 Wonham Street South,South West,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Yes,Yes,Yes,Yes,Ingersoll, N5C3P6,80.0,58.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,secord trails care community,,,,,Ingersoll,3532018.0,35.0,43.03265541,-80.88305150000001
2 Buchan Court,Central,North York General Hospital,,Non-Profit,Yes,Yes,Yes,Yes,North York, M2J5A3,192.0,33.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,seniors' health centre,,,,,Toronto,3520005.0,35.0,43.77304721,-79.36002319
9 Neilson Road,Central East,Toronto Long-term Care Homes And Services,,Municipal,Yes,Yes,Yes,Yes,Scarborough, M1E5E1,249.0,47.0,"(46.0, 172.0]",3.0,32.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,seven oaks,24,40,21,Active,Toronto,3520005.0,35.0,43.78117732,-79.20432774
12 Bartlett Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Shalom Manor Long Term Care Home,,Non-Profit,No,Yes,Yes,No,Grimsby, L3M4N5,144.0,20.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,shalom manor long term care home,,0,,Inactive,Grimsby,3526065.0,35.0,43.1869815,-79.52455129
70 Macklin Street North,Hamilton Niagara Haldimand Brant (Hnhb),Shalom Village Nursing Home,,Non-Profit,No,Yes,Yes,Yes,Hamilton, L8S3S1,127.0,20.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,shalom village nursing home,,,,,Hamilton,3525005.0,35.0,43.26411849,-79.89518251
200 Robert Street P.O. Box 156,Central West,"Cvh (No. 8) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Yes,Yes,Yes,Yes,Shelburne, L0N1S1,60.0,21.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,shelburne long term care home,19,18,18,Active,Shelburne,3522021.0,35.0,44.08301872,-80.20421248
3760 Sheppard Avenue East,Central East,Shepherd Village Inc.,,Non-Profit,No,Yes,Yes,Yes,Toronto, M1T3K9,252.0,48.0,"(46.0, 172.0]",3.0,23.0,"(16.0, 23.0]",2.0,15.0,"(11.0, 44.0]",3.0,shepherd lodge,,0,,Inactive,Toronto,3520005.0,35.0,43.78271331,-79.29413397
345 Sherbourne Street,Toronto Central,Drs. Paul And John Rekai Centre,,Non-Profit,Yes,Yes,No,Yes,Toronto, M5A2S3,126.0,31.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,sherbourne place,38,18,26,Active,Toronto,3520005.0,35.0,43.66267759,-79.37266528
2460 Truscott Drive,Mississauga Halton,The Regional Municipality Of Peel,,Municipal,No,Yes,Yes,Yes,Mississauga, L5J3Z8,142.0,24.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,sheridan villa,10,<5,7,Active,Mississauga,3521005.0,35.0,43.51060205,-79.64829886
300 Ravineview Drive,Central,Axr Operating (National) Lp,,For-Profit,No,Yes,Yes,Yes,Maple, L6A3P8,96.0,40.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,sherwood court long term care centre,0,0,<5,Active,Vaughan,3519028.0,35.0,43.88950162,-79.51877245
