,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,number_beds,lati,long
592,229 Wellington Street,Erie St. Clair,Non-Profit,Yes,Yes,Yes,Yes,Sarnia, N7T1G9,38,"(31.0, 46.0]",2,12,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,vision nursing home,5,<5,<5,Active,Sarnia,3538030,146,42.97,-82.40
593,97 Mill Street P.O. Box 68,Central East,For-Profit,Yes,Yes,No,Yes,Warkworth, K0K3K0,24,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,warkworth place,,,,,Trent Hills,3514045,60,44.20,-77.89
594,401 William Street,North East,For-Profit,No,Yes,Yes,Yes,North Bay, P1A1X5,41,"(31.0, 46.0]",2,28,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,waters edge care community,,,,,North Bay,3548044,148,46.28,-79.45
595,344 Victoria Street,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Watford, N0M2S0,18,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,watford quality care centre,,,,,Warwick,3538043,63,42.95,-81.89
596,160 Wellesley Street East,Toronto Central,Non-Profit,Yes,Yes,Yes,Yes,Toronto, M4Y1J2,35,"(31.0, 46.0]",2,23,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,wellesley central place,43,16,21,Active,Toronto,3520005,150,43.67,-79.38
597,990 Edward Street North P.O. Box 1510,South East,For-Profit,No,Yes,Yes,No,Prescott, K0E1T0,57,"(46.0, 172.0]",3,17,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,wellington house nursing home,,,,,Prescott,3507008,60,44.72,-75.52
598,802 Hager Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Burlington, L7S1X2,42,"(31.0, 46.0]",2,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,wellington park care centre,,,,,Burlington,3524002,132,43.33,-79.81
599,474 Wellington Road 18,Waterloo Wellington,Municipal,No,Yes,Yes,No,Fergus, N1M0A1,18,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,wellington terrace long-term care home,,0,,Inactive,Centre Wellington,3523025,176,43.70,-80.40
600,41 South Street West,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Dundas, L9H4C4,23,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,12,"(11.0, 44.0]",3,wentworth lodge,0,0,0,Active,Hamilton,3525005,160,43.26,-79.95
601,400 The West Mall,Mississauga Halton,Municipal,Yes,Yes,Yes,Yes,Etobicoke, M9C5S1,62,"(46.0, 172.0]",3,20,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,wesburn manor,<5,0,0,Active,Toronto,3520005,192,43.64,-79.57
602,"1673 County Road, 12 R. R. #1",South East,For-Profit,No,Yes,No,Yes,Picton, K0K2T0,26,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,west lake terrace,,,,,Prince Edward County,3513020,47,43.93,-77.26
603,2370 Third Line,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Oakville, L6M4E2,33,"(31.0, 46.0]",2,15,"(11.0, 16.0]",1,11,"(7.0, 11.0]",2,west oak village,,,,,Oakville,3524001,133,43.45,-79.76
604,103 Pelham Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,St Catharines, L2S1S9,48,"(46.0, 172.0]",3,22,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,west park health centre,,,,,St. Catharines,3526053,101,43.14,-79.25
605,82 Buttonwood Avenue,Toronto Central,Non-Profit,Yes,Yes,Yes,Yes,Toronto, M6M2J5,61,"(46.0, 172.0]",3,28,"(23.0, 86.0]",3,11,"(7.0, 11.0]",2,west park long term care centre,57,20,31,Active,Toronto,3520005,200,43.69,-79.51
606,37 Wilkie Street,South East,For-Profit,Yes,Yes,Yes,Yes,Belleville, K8P4E4,42,"(31.0, 46.0]",2,23,"(16.0, 23.0]",2,12,"(11.0, 44.0]",3,westgate lodge nursing home,,,,,Belleville,3512005,88,44.15,-77.41
607,590 Longworth Road,South West,For-Profit,No,Yes,Yes,Yes,London, N6K4X9,86,"(46.0, 172.0]",3,25,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,westmount gardens long term care home,,,,,London,3539036,160,42.95,-81.31
608,2005 Lawrence Avenue West,Central,For-Profit,No,Yes,Yes,Yes,Toronto, M9N3V4,34,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,weston terrace care community,42,13,29,Active,Toronto,3520005,224,43.70,-79.51
609,1145 Albion Road,Central West,For-Profit,Yes,Yes,Yes,Yes,Etobicoke, M9V4J7,50,"(46.0, 172.0]",3,17,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,westside,,<5,,Inactive,Toronto,3520005,242,43.74,-79.57
610,2281 Wikwemikong Way P.O. Box 114,North East,Non-Profit,Yes,Yes,No,Yes,Wikwemikong, P0P2J0,54,"(46.0, 172.0]",3,24,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,wikwemikong nursing home,<5,0,0,Active,Wikwemikong Unceded,3551043,59,45.80,-81.72
611,100 Ann Street P.O. Box 2200,South West,For-Profit,No,Yes,Yes,Yes,St. Marys, N4X1A1,25,"(21.0, 31.0]",1,10,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,wildwood care centre,,,,,St. Marys,3531016,60,43.26,-81.15
612,20B Cartier Road,North West,Non-Profit,No,Yes,Yes,Yes,Terrace Bay, P0T2W0,9,"(0.0, 21.0]",0,5,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,wilkes terrace,,,,,Terrace Bay,3558054,22,48.78,-87.10
613,102 Corkery Street P.O. Box 10,North East,For-Profit,Yes,Yes,Yes,No,Trout Creek, P0H2L0,65,"(46.0, 172.0]",3,30,"(23.0, 86.0]",3,,,,lady isabelle nursing home,,,,,,,66,45.99,-79.36
614,1020 Westney Road North,Central East,For-Profit,Yes,Yes,Yes,Yes,Ajax, L1T4K6,44,"(31.0, 46.0]",2,26,"(23.0, 86.0]",3,8,"(7.0, 11.0]",2,winbourne park,,0,,Inactive,Ajax,3518005,110,43.88,-79.04
615,5400 Steeles Avenue West,Central West,For-Profit,No,Yes,Yes,Yes,Woodbridge, L4L9S1,53,"(46.0, 172.0]",3,20,"(16.0, 23.0]",2,12,"(11.0, 44.0]",3,woodbridge vista care community,<5,0,<5,Active,Vaughan,3519028,224,43.76,-79.60
616,10260 Kennedy Road North,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6Z4N7,38,"(31.0, 46.0]",2,16,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,woodhall park care community,,,,,Brampton,3521010,147,43.72,-79.78
617,325 Thames Street South,South West,Municipal,No,Yes,No,No,Ingersoll, N5C2T8,20,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,9,"(7.0, 11.0]",2,woodingford lodge - ingersoll,,,,,Ingersoll,3532018,34,43.03,-80.88
618,52 Venison Street West,South West,Municipal,Yes,Yes,Yes,No,Tillsonburg, N4G1V1,19,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,woodingford lodge - tillsonburg,,,,,Tillsonburg,3532004,34,42.86,-80.73
619,300 Juliana Drive,South West,Municipal,Yes,Yes,No,No,Woodstock, N4V0A1,38,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,12,"(11.0, 44.0]",3,woodingford lodge - woodstock,,,,,Woodstock,3532042,160,43.11,-80.76
620,30 Milles Roches Road R. R. #1,Champlain,For-Profit,No,Yes,Yes,Yes,Long Sault, K0C1P0,44,"(31.0, 46.0]",2,22,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,woodland villa,<5,0,0,Active,South Stormont,3501011,111,45.03,-74.89
621,110 Lillian Crescent,North Simcoe Muskoka,For-Profit,Yes,Yes,Yes,Yes,Barrie, L4N5H7,31,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,woods park care centre,,0,,Inactive,Barrie,3543042,123,44.40,-79.72
622,291 Reynolds Street,Mississauga Halton,Non-Profit,No,Yes,Yes,Yes,Oakville, L6J3L5,34,"(31.0, 46.0]",2,8,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,wyndham manor long term care centre,,,,,Oakville,3524001,128,43.45,-79.67
623,2780 Bur Oak Avenue,Central,Non-Profit,Yes,Yes,Yes,Yes,Markham, L6B1C9,12,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,yee hong centre - markham,,0,,Inactive,Markham,3519036,200,43.89,-79.23
624,5510 Mavis Road,Mississauga Halton,Non-Profit,Yes,Yes,Yes,Yes,Mississauga, L5V2X5,23,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,yee hong centre - mississauga,,,,,Mississauga,3521005,200,43.60,-79.69
625,60 Scottfield Drive,Central East,Non-Profit,Yes,Yes,Yes,Yes,Scarborough, M1S5T7,16,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,yee hong centre - scarborough finch,,,,,Toronto,3520005,250,43.81,-79.25
626,2311 McNicoll Avenue,Central East,Non-Profit,Yes,Yes,Yes,Yes,Scarborough, M1V5L3,15,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,yee hong centre - scarborough mcnicoll,,0,,Inactive,Toronto,3520005,155,43.81,-79.29
627,10424 Keele Street,Central,Municipal,Yes,Yes,Yes,Yes,Maple, L6A2L1,25,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,york region maple health centre,,,,,Vaughan,3519028,100,43.87,-79.52
628,194 Eagle Street,Central,Municipal,Yes,Yes,Yes,Yes,Newmarket, L3Y1J6,26,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,york region newmarket health centre,,,,,Newmarket,3519048,132,44.05,-79.47
